Device,iPhone,model,iPhone,version,10.2.1,AppVersion,2.7.2
Year,2017,Month,4,Day,2,Hour,0,Minute,0,Second,0,BatteryUsage, n/a
comments
File created by Mio Go v2.7.2 iPhone App.
sensor,present,smrec,zeroavg,model
pwr,no,no,no,n/a
spd,no,no,no,n/a
cad,no,no,no,n/a
hr,yes,no,no,n/a
footpod,no,no,no,n/a
gps,no,no,no,n/a
workout,starttime,runningtime,spdavg,hravg,manualdist
Y,2017-04-02 15:39:06 +0000,932,0.695089,140,173
interval,starttime,runningtime,spdavg,hravg,manualdist
1,2017-04-02 15:39:06 +0000,932,0.695089,140,173
time(seconds),hr_heartrate(1s),calories(12s),step_data(60s),manual_dist(12s),interval,pace_data(12s),speed_data(12s)
176,123,0,0,0,1,0,0
177,123,0,0,0,1,0,0
178,123,0,0,0,1,0,0
179,122,0,0,0,1,0,0
180,121,0,0,(null),1,0,0
181,119,0,0,0,1,0,0
182,118,0,0,0,1,0,0
183,118,0,0,0,1,0,0
184,118,0,0,0,1,0,0
185,117,0,0,0,1,0,0
186,117,0,0,0,1,0,0
187,117,0,0,0,1,0,0
188,117,0,0,0,1,0,0
189,117,0,0,0,1,0,0
190,117,0,0,0,1,0,0
191,117,0,0,0,1,0,0
192,117,0,0,(null),1,0,0
193,117,0,0,0,1,0,0
194,119,0,0,0,1,0,0
195,120,0,0,0,1,0,0
196,121,0,0,0,1,0,0
197,121,0,0,0,1,0,0
198,121,0,0,0,1,0,0
199,121,0,0,0,1,0,0
200,121,0,0,0,1,0,0
201,121,0,0,0,1,0,0
202,122,0,0,0,1,0,0
203,122,0,0,0,1,0,0
204,122,0,0,(null),1,0,0
205,124,0,0,0,1,0,0
206,124,0,0,0,1,0,0
207,127,0,0,0,1,0,0
208,127,0,0,0,1,0,0
209,131,0,0,0,1,0,0
210,133,0,0,0,1,0,0
211,134,0,0,0,1,0,0
212,134,0,0,0,1,0,0
213,134,0,0,0,1,0,0
214,139,0,0,0,1,0,0
215,139,0,0,0,1,0,0
216,141,0,0,(null),1,0,0
217,141,0,0,0,1,0,0
218,143,0,0,0,1,0,0
219,143,0,0,0,1,0,0
220,144,0,0,0,1,0,0
221,144,0,0,0,1,0,0
222,144,0,0,0,1,0,0
223,144,0,0,0,1,0,0
224,143,0,0,0,1,0,0
225,143,0,0,0,1,0,0
226,143,0,0,0,1,0,0
227,143,0,0,0,1,0,0
228,143,0,0,(null),1,0,0
229,143,0,0,0,1,0,0
230,143,0,0,0,1,0,0
231,143,0,0,0,1,0,0
232,143,0,0,0,1,0,0
233,143,0,0,0,1,0,0
234,142,0,0,0,1,0,0
235,143,0,0,0,1,0,0
236,143,0,0,0,1,0,0
237,143,0,0,0,1,0,0
238,144,0,0,0,1,0,0
239,145,0,0,0,1,0,0
240,145,0,0,(null),1,0,0
241,145,0,0,0,1,0,0
242,146,0,0,0,1,0,0
243,146,0,0,0,1,0,0
244,146,0,0,0,1,0,0
245,147,0,0,0,1,0,0
246,146,0,0,0,1,0,0
247,146,0,0,0,1,0,0
248,146,0,0,0,1,0,0
249,146,0,0,0,1,0,0
250,146,0,0,0,1,0,0
251,147,0,0,0,1,0,0
252,147,0,0,(null),1,0,0
253,148,0,0,0,1,0,0
254,148,0,0,0,1,0,0
255,147,0,0,0,1,0,0
256,147,0,0,0,1,0,0
257,148,0,0,0,1,0,0
258,148,0,0,0,1,0,0
259,147,0,0,0,1,0,0
260,147,0,0,0,1,0,0
261,147,0,0,0,1,0,0
262,148,0,0,0,1,0,0
263,148,0,0,0,1,0,0
264,147,0,0,(null),1,0,0
265,147,0,0,0,1,0,0
266,145,0,0,0,1,0,0
267,144,0,0,0,1,0,0
268,144,0,0,0,1,0,0
269,144,0,0,0,1,0,0
270,144,0,0,0,1,0,0
271,144,0,0,0,1,0,0
272,144,0,0,0,1,0,0
273,142,0,0,0,1,0,0
274,141,0,0,0,1,0,0
275,142,0,0,0,1,0,0
276,142,0,0,(null),1,0,0
277,144,0,0,0,1,0,0
278,144,0,0,0,1,0,0
279,144,0,0,0,1,0,0
280,143,0,0,0,1,0,0
281,143,0,0,0,1,0,0
282,145,0,0,0,1,0,0
283,146,0,0,0,1,0,0
284,146,0,0,0,1,0,0
285,146,0,0,0,1,0,0
286,147,0,0,0,1,0,0
287,148,0,0,0,1,0,0
288,148,0,0,(null),1,0,0
289,148,0,0,0,1,0,0
290,148,0,0,0,1,0,0
291,148,0,0,0,1,0,0
292,148,0,0,0,1,0,0
293,147,0,0,0,1,0,0
294,147,0,0,0,1,0,0
295,147,0,0,0,1,0,0
296,147,0,0,0,1,0,0
297,148,0,0,0,1,0,0
298,148,0,0,0,1,0,0
299,148,0,0,0,1,0,0
300,148,0,0,(null),1,0,0
301,148,0,0,0,1,0,0
302,151,0,0,0,1,0,0
303,150,0,0,0,1,0,0
304,149,0,0,0,1,0,0
305,149,0,0,0,1,0,0
306,147,0,0,0,1,0,0
307,147,0,0,0,1,0,0
308,147,0,0,0,1,0,0
309,147,0,0,0,1,0,0
310,148,0,0,0,1,0,0
311,148,0,0,0,1,0,0
312,148,0,0,(null),1,0,0
313,149,0,0,0,1,0,0
314,149,0,0,0,1,0,0
315,149,0,0,0,1,0,0
316,149,0,0,0,1,0,0
317,149,0,0,0,1,0,0
318,148,0,0,0,1,0,0
319,148,0,0,0,1,0,0
320,148,0,0,0,1,0,0
321,148,0,0,0,1,0,0
322,148,0,0,0,1,0,0
323,148,0,0,0,1,0,0
324,149,0,0,(null),1,0,0
325,149,0,0,0,1,0,0
326,150,0,0,0,1,0,0
327,150,0,0,0,1,0,0
328,150,0,0,0,1,0,0
329,150,0,0,0,1,0,0
330,149,0,0,0,1,0,0
331,148,0,0,0,1,0,0
332,148,0,0,0,1,0,0
333,148,0,0,0,1,0,0
334,149,0,0,0,1,0,0
335,149,0,0,0,1,0,0
336,149,0,0,(null),1,0,0
337,150,0,0,0,1,0,0
338,150,0,0,0,1,0,0
339,151,0,0,0,1,0,0
340,151,0,0,0,1,0,0
341,152,0,0,0,1,0,0
342,151,0,0,0,1,0,0
343,151,0,0,0,1,0,0
344,151,0,0,0,1,0,0
345,151,0,0,0,1,0,0
346,150,0,0,0,1,0,0
347,149,0,0,0,1,0,0
348,149,0,0,(null),1,0,0
349,149,0,0,0,1,0,0
350,149,0,0,0,1,0,0
351,149,0,0,0,1,0,0
352,149,0,0,0,1,0,0
353,149,0,0,0,1,0,0
354,149,0,0,0,1,0,0
355,148,0,0,0,1,0,0
356,148,0,0,0,1,0,0
357,148,0,0,0,1,0,0
358,150,0,0,0,1,0,0
359,150,0,0,0,1,0,0
360,150,0,0,(null),1,0,0
361,149,0,0,0,1,0,0
362,149,0,0,0,1,0,0
363,149,0,0,0,1,0,0
364,149,0,0,0,1,0,0
365,149,0,0,0,1,0,0
366,150,0,0,0,1,0,0
367,150,0,0,0,1,0,0
368,151,0,0,0,1,0,0
369,151,0,0,0,1,0,0
370,153,0,0,0,1,0,0
371,153,0,0,0,1,0,0
372,153,0,0,(null),1,0,0
373,153,0,0,0,1,0,0
374,154,0,0,0,1,0,0
375,155,0,0,0,1,0,0
376,155,0,0,0,1,0,0
377,153,0,0,0,1,0,0
378,153,0,0,0,1,0,0
379,153,0,0,0,1,0,0
380,153,0,0,0,1,0,0
381,151,0,0,0,1,0,0
382,151,0,0,0,1,0,0
383,151,0,0,0,1,0,0
384,151,0,0,(null),1,0,0
385,150,0,0,0,1,0,0
386,151,0,0,0,1,0,0
387,151,0,0,0,1,0,0
388,151,0,0,0,1,0,0
389,151,0,0,0,1,0,0
390,152,0,0,0,1,0,0
391,152,0,0,0,1,0,0
392,151,0,0,0,1,0,0
393,151,0,0,0,1,0,0
394,151,0,0,0,1,0,0
395,151,0,0,0,1,0,0
396,152,0,0,(null),1,0,0
397,154,0,0,0,1,0,0
398,154,0,0,0,1,0,0
399,154,0,0,0,1,0,0
400,154,0,0,0,1,0,0
401,154,0,0,0,1,0,0
402,153,0,0,0,1,0,0
403,152,0,0,0,1,0,0
404,152,0,0,0,1,0,0
405,152,0,0,0,1,0,0
406,153,0,0,0,1,0,0
407,155,0,0,0,1,0,0
408,155,0,0,(null),1,0,0
409,155,0,0,0,1,0,0
410,156,0,0,0,1,0,0
411,156,0,0,0,1,0,0
412,156,0,0,0,1,0,0
413,156,0,0,0,1,0,0
414,156,0,0,0,1,0,0
415,156,0,0,0,1,0,0
416,156,0,0,0,1,0,0
417,156,0,0,0,1,0,0
